ds,yhat,yhat_lower,yhat_upper
2020-10-31,158.45512936792431,139.59798468835268,176.97298792314376
2020-11-01,155.58424833832834,135.11045104276167,174.26238338103502
2020-11-02,203.2808221750114,183.6514929334666,222.12601347668462
2020-11-03,190.45946277039536,171.75922614277948,209.15792305258086
2020-11-04,188.25571954152355,169.41951152037376,206.71188624549956
2020-11-05,186.94397700452492,168.1050948749131,206.64146535046407
2020-11-06,187.94159672635183,168.73533489802134,208.06226707734533
2020-11-07,160.82495604758827,141.27766983724953,180.76228685963986
2020-11-08,158.62210477842996,139.54037947787413,177.58164612333152
2020-11-09,207.81406637758548,188.81385938553268,227.685942315893
2020-11-10,195.46051308538338,174.9361047876698,215.50100524749848
2020-11-11,193.85824648558167,173.7845659663889,213.6851752761701
2020-11-12,193.1055447700896,174.31544609593843,213.09415715503553
2020-11-13,194.62911292868984,174.98967450999282,214.75050009216991
2020-11-14,167.247326055614,147.55590099233183,187.21383280670528
2020-11-15,165.1014949680324,145.29548957977917,184.22141342204364
2020-11-16,214.86181572391467,196.3041434044452,235.03010632086483
2020-11-17,202.19277053864334,182.83764576319086,220.94209675442755
2020-11-18,200.3007896001119,181.25105121420756,220.40894435301334
2020-11-19,199.16488046894972,179.92883865290776,218.0789405082297
2020-11-20,200.2197550968017,180.22583368895704,219.3116438914447
2020-11-21,172.3987388490104,151.88233857725297,191.85444401156806
2020-11-22,169.87048900405028,152.08035726487952,189.62609603124557
2020-11-23,219.46732463646438,200.29030912664174,238.333675436822
2020-11-24,206.21672422006338,188.38271028037786,225.81159581895767
2020-11-25,203.7555794111448,183.90459018128286,223.18515475204637
2020-11-26,202.02141494624922,182.18208287137003,220.62113212052736
2020-11-27,202.47323340266573,184.01447577681188,220.73902899014183
2020-11-28,173.88497998581653,154.03392930732815,194.20385209022075
2020-11-29,170.74826674950174,150.9001757729596,189.1483948051673
2020-11-30,220.06232728008297,200.3531348192713,239.5434133516321
2020-12-01,206.219535621887,187.17089876527888,223.4642988005624
2020-12-02,203.286207857206,183.66017604924778,221.7723871152665
2020-12-03,199.58402372851882,180.22094256295344,218.61875810728563
2020-12-04,198.16020440231682,178.55809771165644,216.67027313886507
2020-12-05,168.30084681241414,149.11556147173889,188.28353746382047
2020-12-06,163.78023998792222,145.8520617805588,183.08485396315638
2020-12-07,210.09548605851202,190.13081445266073,228.66538846134466
2020-12-08,195.18480868036534,177.48030588392393,214.42138529693904
2020-12-09,190.94964674790486,170.1468269412653,210.2765444839876
2020-12-10,187.5944018163919,168.8603710797986,208.97267315220185
2020-12-11,186.4718737264384,165.0410377639412,206.32129391690805
2020-12-12,158.39442443480368,138.61077005483182,177.48496729182887
2020-12-13,154.43892158980054,136.75865357899636,174.3226053496162
2020-12-14,198.7644434616208,180.18474517584295,218.66233308117614
2020-12-15,184.98037945951853,164.68895612405728,204.35289230910706
2020-12-16,181.33108224414852,163.55101541462093,200.41990450227073
2020-12-17,178.50423796309792,158.66275259825417,197.62681291197296
2020-12-18,177.7673992822977,158.19874565778838,197.18192559978286
2020-12-19,151.45862756202797,133.68074329414912,171.7865672252266
2020-12-20,147.95958039293183,128.10416111667374,167.44340709267203
2020-12-21,190.0961905571791,171.3346569739819,210.0447690310568
2020-12-22,178.98239055971416,160.6957558648084,197.4980442795157
2020-12-23,177.3479919906672,157.81270703700457,195.40838670736687
2020-12-24,176.3965684261455,157.20070435784262,195.10733246300813
2020-12-25,157.74007532412475,137.81039421871344,177.04758365216048
2020-12-26,152.89416955286526,133.58863889622802,170.82042195009976
2020-12-27,150.72613539973713,130.3846316636754,170.19199384183946
2020-12-28,201.93032423159175,180.4738715701756,220.49884127894083
2020-12-29,183.13657324554922,164.59921998319447,202.87615614227894
2020-12-30,181.0787145457437,161.09888860985765,199.83058939154125
2020-12-31,179.65971263650007,159.27668301945826,197.8292733956784
2021-01-01,163.25602590110165,143.96288705683787,181.59986385796827
2021-01-02,154.78490078077837,135.79830379084908,176.14063579217242
2021-01-03,152.0394419261294,133.99893681607375,171.33237033834394
2021-01-04,196.16362923792676,176.5184613883588,215.18497644030543
2021-01-05,183.83665439263902,164.54947392278493,203.26100661103396
2021-01-06,181.2318430490142,161.88554258573433,199.60820200971057
2021-01-07,179.3127688705206,159.24204128473946,198.80157207950762
2021-01-08,179.40828955312378,160.90495586113144,198.21361164735
2021-01-09,153.27876872803054,135.41604957999917,173.66047178670172
2021-01-10,149.36342030802217,130.35624580555623,168.98924617246706
2021-01-11,192.5868125375961,174.40424557009513,212.1068746192785
2021-01-12,179.08688211433386,160.6207674032219,198.48424121739342
2021-01-13,175.4634972915416,155.72558816781697,193.77335241592294
2021-01-14,172.63935884686438,152.78760282789668,191.98665767654853
2021-01-15,171.9043173048521,152.35876221534787,191.00288651872708
2021-01-16,145.6761907902088,126.13256945312534,165.88950490534722
2021-01-17,142.1713081377667,122.71109746308693,161.54593745032687
2021-01-18,184.70590468950817,165.93161924200393,203.23019393069373
2021-01-19,171.97992599615918,150.98540332818132,192.4205103441642
2021-01-20,168.93408429079193,149.776723095851,188.61350498370706
2021-01-21,166.70371341821314,148.86538131757735,185.87136555545993
2021-01-22,166.5330662984172,147.3426536410559,187.40197692288461
2021-01-23,141.5222508779616,122.6686136868649,159.8394085872854
2021-01-24,138.65980888285972,119.49868271830734,159.15585629766
2021-01-25,180.6499134251858,161.83380327516718,201.27447583030687
2021-01-26,168.7521282910522,149.93277135444868,187.87456056239571
2021-01-27,166.24798290501306,146.74433471932034,186.87932254713522
2021-01-28,164.4877477504798,146.6767058778013,182.98396196171333
2021-01-29,164.67461640912236,146.33797673344648,184.85859155751962
2021-01-30,142.0349317271975,124.74790484806842,161.70941243933626
2021-01-31,140.85879092790526,122.90840060298108,161.37731037625065
2021-02-01,184.59556716824548,166.2170724319714,204.82028722061696
2021-02-02,174.465858842996,154.55567254877178,193.85088099589237
2021-02-03,173.6515203143638,153.15890337622884,190.5658615225121
2021-02-04,173.4907326225486,154.75846213488703,193.37999138667337
2021-02-05,175.26555504239678,154.94927778235905,193.47037853680925
2021-02-06,151.38287827082067,133.17822696523606,169.92134182651006
2021-02-07,149.8618271338969,131.53452455892983,170.03624097264378
2021-02-08,195.1723674975675,174.685542718554,215.03699028352415
2021-02-09,184.19171672303435,165.11058913511914,203.4614308730979
2021-02-10,182.89967941413408,163.95121539228674,202.15849621768245
2021-02-11,182.26443599524276,164.04358153279463,201.71669596081244
2021-02-12,183.63445487158444,165.1082060719674,202.51751787474603
2021-02-13,158.25117267235032,138.45863124628096,178.7533366471959
2021-02-14,156.20022780958,137.00633022612737,174.3000767476571
2021-02-15,200.7347712593862,181.0293678679873,218.6314482304972
2021-02-16,191.11635790841265,172.33297136970037,210.601863808361
2021-02-17,189.39750942293296,170.43021510321643,207.82374885367238
2021-02-18,188.41687825184138,169.86074338018787,207.7552398597427
2021-02-19,189.58468108258276,170.49187373116655,208.83517810366826
2021-02-20,162.97064117539873,144.08947231771427,184.12598871791945
2021-02-21,160.71956275813727,141.64604378033007,180.5678422336832
2021-02-22,209.34273144572117,189.24421727713002,228.36508411375027
2021-02-23,197.0229009365263,177.52503660226037,214.7124669600797
2021-02-24,195.32553692506343,178.2097631370106,214.85213611820095
2021-02-25,194.462431263443,175.53763000047812,213.1725648145407
2021-02-26,195.8941947284085,176.54632651219222,216.76755147702556
2021-02-27,168.5057516921247,147.06898785489764,188.9636232537106
2021-02-28,166.48953618887512,148.95137271369862,186.24380576840198
2021-03-01,217.36142782340568,199.54471126687648,237.86605405791371
2021-03-02,204.93922706568455,186.88578267986145,224.8811942916062
2021-03-03,203.5670937752833,183.23945647119572,223.65304122016147
2021-03-04,203.06436721227297,184.1805814886788,223.06761934976998
